ErrorCodeDec,ID,adviseText,description,errorText,examples,param1,param2,pruefumfangName,resultName,resultValueStr,testStepName
"*",1006,"-","FS_LESEN_F1","Botschaft (Anzeige Checkcontrol *, *) fehlt, Empfänger KOMBI, Sender VDP","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751024 (HEX E1 15 30 0D);14751024;Botschaft (Anzeige Checkcontrol ARS, 0x293) fehlt, Empfänger KOMBI, Sender VDP;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751024 (HEX E1 15 30 2F);14751024;Botschaft (Anzeige Checkcontrol ARS, 0x293) fehlt, Empfänger KOMBI, Sender VDP;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751033 (HEX E1 15 39 2F);14751033;Botschaft (Anzeige Checkcontrol VDC, 0x28E) fehlt, Empfänger KOMBI, Sender VDP;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751024 (HEX E1 15 30 2F);14751024;Botschaft (Anzeige Checkcontrol ARS, 0x293) fehlt, Empfänger KOMBI, Sender VDP;-\x0A","KOMB_G11","FS_LESEN","*","F_ORT_NR","* (HEX E1 15 * *)",KOMBI
14751064,1007,"-","FS_LESEN_F1","Botschaft (Anzeige leistung Antrieb, 0x2AE) fehlt, Empfänger KOMBI, Sender DME1","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14751064 (HEX E1 15 58 27);14751064;Botschaft (Anzeige leistung Antrieb, 0x2AE) fehlt, Empfänger KOMBI, Sender DME1;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751064 (HEX E1 15 58 2F);14751064;Botschaft (Anzeige leistung Antrieb, 0x2AE) fehlt, Empfänger KOMBI, Sender DME1;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751064 (HEX E1 15 58 2F);14751064;Botschaft (Anzeige leistung Antrieb, 0x2AE) fehlt, Empfänger KOMBI, Sender DME1;-\x0A","*","FS_LESEN","*","F_ORT_NR","14751064 (HEX E1 15 58 *)",KOMBI
14751091,1008,"-","FS_LESEN_F1","Botschaft (Anzeige Fahrerassistenzsystem Querführung, 0x203) fehlt, Empfänger KOMBI, Sender SAS","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14751091 (HEX E1 15 73 27);14751091;Botschaft (Anzeige Fahrerassistenzsystem Querführung, 0x203) fehlt, Empfänger KOMBI, Sender SAS;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751091 (HEX E1 15 73 2F);14751091;Botschaft (Anzeige Fahrerassistenzsystem Querführung, 0x203) fehlt, Empfänger KOMBI, Sender SAS;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14751091 (HEX E1 15 73 2F);14751091;Botschaft (Anzeige Fahrerassistenzsystem Querführung, 0x203) fehlt, Empfänger KOMBI, Sender SAS;-\x0A","*","FS_LESEN","*","F_ORT_NR","14751091 (HEX E1 15 73 *)",KOMBI
14756923,1009,"-","FS_LESEN_F1","Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14756923 (HEX E1 2C 3B 27);14756923;Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756923 (HEX E1 2C 3B 0D);14756923;Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756923 (HEX E1 2C 3B 27);14756923;Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756923 (HEX E1 2C 3B 2F);14756923;Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756923 (HEX E1 2C 3B 0D);14756923;Schnittstelle DME DDE (Status Motor-Start-Stopp-Automatik, 0x30B): Signal ungültig;-\x0A","*","FS_LESEN","*","F_ORT_NR","14756923 (HEX E1 2C 3B *)",KOMBI
"-",101,"-","-","-","ACHSPRFG;-;Spur vorne rechts vor Einstellung;-;-;- - -;-;-;-\x0A","-","-",ACHSPRFG,"Spur vorne rechts vor Einstellung","-","-"
14756981,1010,"-","FS_LESEN_F1","Schnittstelle DSC_Modul (Ist Drehzahl Rad ungesichert, 0x254): Signal ungültig","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756981 (HEX E1 2C 75 0D);14756981;Schnittstelle DSC_Modul (Ist Drehzahl Rad ungesichert, 0x254): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756981 (HEX E1 2C 75 2F);14756981;Schnittstelle DSC_Modul (Ist Drehzahl Rad ungesichert, 0x254): Signal ungültig;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756981 (HEX E1 2C 75 0D);14756981;Schnittstelle DSC_Modul (Ist Drehzahl Rad ungesichert, 0x254): Signal ungültig;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14756981 (HEX E1 2C 75 2F);14756981;Schnittstelle DSC_Modul (Ist Drehzahl Rad ungesichert, 0x254): Signal ungültig;-\x0A","KOMB_G11","FS_LESEN","*","F_ORT_NR","14756981 (HEX E1 2C 75 *)",KOMBI
14757019,1011,"-","FS_LESEN_F1","Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14757019 (HEX E1 2C 9B 27);14757019;Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14757019 (HEX E1 2C 9B 27);14757019;Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14757019 (HEX E1 2C 9B 2F);14757019;Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14757019 (HEX E1 2C 9B 27);14757019;Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14757019 (HEX E1 2C 9B 2F);14757019;Schnittstelle DME DDE (Anzeige Drehzahl Antriebsstrang, 0x0F3): Signal ungültig;-\x0A","*","FS_LESEN","*","F_ORT_NR","14757019 (HEX E1 2C 9B *)",KOMBI
155656,1012,"-","FS_LESEN_F1","Codierung: Steuergerät ist nicht codiert","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 155656 (HEX 02 60 08 2F);155656;Codierung: Steuergerät ist nicht codiert;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 155656 (HEX 02 60 08 2F);155656;Codierung: Steuergerät ist nicht codiert;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 155656 (HEX 02 60 08 2F);155656;Codierung: Steuergerät ist nicht codiert;-\x0A","*","FS_LESEN","*","F_ORT_NR","155656 (HEX 02 60 08 2F)",KOMBI
"*",1013,"-","FS_LESEN_F1","Botschaft * (*)* Timeout","C_DIAGNOSE;LICHT_MODUL_LINKS;F_ORT_NR;FS_LESEN_F1;FLM01_L;FS_LESEN - 14275584 (HEX D9 D4 00 0D);14275584;Botschaft 0x1F6 (Blinken): Timeout;-\x0A C_DIAGNOSE;LICHT_MODUL_LINKS;F_ORT_NR;FS_LESEN_F1;FLM01_L;FS_LESEN - 14275592 (HEX D9 D4 08 0D);14275592;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A F1_DIAGNOSE;LICHT_MODUL_LINKS;F_ORT_NR;FS_LESEN_F1;FLM01_L;FS_LESEN - 14275592 (HEX D9 D4 08 0D);14275592;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A F1_DIAGNOSE_T;LICHT_MODUL_LINKS;F_ORT_NR;FS_LESEN_F1;FLM01_L;FS_LESEN - 14275592 (HEX D9 D4 08 0D);14275592;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A","FLM01_L","FS_LESEN","*","F_ORT_NR","* (HEX D9 D4 * 0D)","LICHT_MODUL_LINKS"
"*",1014,"-","FS_LESEN_F1","Botschaft * (*)* Timeout","C_DIAGNOSE;LICHT_MODUL_RECHTS;F_ORT_NR;FS_LESEN_F1;FLM01_R;FS_LESEN - 14291968 (HEX DA 14 00 0D);14291968;Botschaft 0x1F6 (Blinken): Timeout;-\x0A C_DIAGNOSE;LICHT_MODUL_RECHTS;F_ORT_NR;FS_LESEN_F1;FLM01_R;FS_LESEN - 14291976 (HEX DA 14 08 0D);14291976;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A F1_DIAGNOSE;LICHT_MODUL_RECHTS;F_ORT_NR;FS_LESEN_F1;FLM01_R;FS_LESEN - 14291976 (HEX DA 14 08 0D);14291976;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A F1_DIAGNOSE_T;LICHT_MODUL_RECHTS;F_ORT_NR;FS_LESEN_F1;FLM01_R;FS_LESEN - 14291976 (HEX DA 14 08 0D);14291976;Botschaft 0x1A1 (V_VEH) - Timeout;-\x0A","FLM01_R","FS_LESEN","*","F_ORT_NR","* (HEX DA 14 * 0D)","LICHT_MODUL_RECHTS"
135688,1015,"-","FS_LESEN_C_DIAGNOSE","Codierung: Steuergerät ist nicht codiert","C_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_C_DIAGNOSE;D83BX7C0;FS_LESEN - 135688 (HEX 02 12 08 27);135688;Codierung: Steuergerät ist nicht codiert;-\x0A",D83BX7C0,"FS_LESEN","C_DIAGNOSE","F_ORT_NR","135688 (HEX 02 12 08 27)",MOTOR
2660608,1016,"-","FS_LESEN_C_DIAGNOSE","Nullgangstellung, Abgleich (Layer_NGLERN): Position noch nicht mit Diagnose angelernt","C_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_C_DIAGNOSE;D83BX7C0;FS_LESEN - 2660608 (HEX 28 99 00 27);2660608;Nullgangstellung, Abgleich (Layer_NGLERN): Position noch nicht mit Diagnose angelernt;-\x0A",D83BX7C0,"FS_LESEN","C_DIAGNOSE","F_ORT_NR","2660608 (HEX 28 99 00 27)",MOTOR
2854400,1017,"-","FS_LESEN_C_DIAGNOSE","Gangsensor (SENT), Plausibilität: Winkelkoordinaten unplausibel zu Schalthebelposition","C_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_C_DIAGNOSE;D83BX7C0;FS_LESEN - 2854400 (HEX 2B 8E 00 27);2854400;Gangsensor (SENT), Plausibilität: Winkelkoordinaten unplausibel zu Schalthebelposition;-\x0A",D83BX7C0,"FS_LESEN","C_DIAGNOSE","F_ORT_NR","2854400 (HEX 2B 8E 00 27)",MOTOR
3029760,1019,"-","FS_LESEN_C_DIAGNOSE","Zusatz-Lastrelais, Ansteuerung: Unterbrechung","C_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_C_DIAGNOSE;D83BX7C0;FS_LESEN - 3029760 (HEX 2E 3B 00 27);3029760;Zusatz-Lastrelais, Ansteuerung: Unterbrechung;-\x0A",D83BX7C0,"FS_LESEN","C_DIAGNOSE","F_ORT_NR","3029760 (HEX 2E 3B 00 27)",MOTOR
"-",102,"-","-","-","ACHSPRFG;-;Sturz hinten links;-;-;- - -;-;-;-\x0A","-","-",ACHSPRFG,"Sturz hinten links","-","-"
3188480,1020,"-","*","Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten)","C_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_C_DIAGNOSE;D83BX7C0;FS_LESEN - 3188480 (HEX 30 A7 00 27);3188480;Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten);-\x0A F1_DIAGNOSE;MOTOR;F_ORT_NR;FS_LESEN_F1;D83BX7C0;FS_LESEN - 3188480 (HEX 30 A7 00 27);3188480;Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten);-\x0A FINISH;MOTOR;F_ORT_NR;FS_LESEN_FINISH;D83BX7C0;FS_LESEN - 3188480 (HEX 30 A7 00 27);3188480;Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten);-\x0A FINISH;MOTOR;F_ORT_NR;FS_LESEN_FINISH;D83BX7C0;FS_LESEN - 3188480 (HEX 30 A7 00 2F);3188480;Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten);-\x0A FINISH_KPS;MOTOR;F_ORT_NR;FS_LESEN_FINISH;D83BX7C0;FS_LESEN - 3188480 (HEX 30 A7 00 27);3188480;Aktive-Kühlluftklappe, Plausibilität: Erkannte Klappe passt nicht zur Codierung (keine Kommunikation zu Steller unten);-\x0A",D83BX7C0,"FS_LESEN","*","F_ORT_NR","3188480 (HEX 30 A7 00 *)",MOTOR
